Resume_Text,Job_Title
"Data Scientist with over 3 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Developed dashboards to monitor key business KPIs and provided actionable insights. Led a project to migrate on-prem systems to AWS cloud infrastructure. Automated CI/CD pipelines and ensured zero downtime during production releases. Designed and implemented a secure network segmentation for financial services client. Conducted root cause analysis on system failures and improved uptime by 15%. Led a project to migrate on-prem systems to AWS cloud infrastructure.",Business Analyst
"Backend Developer with over 2 years of experience working across various industries. Skilled in Node.js, Express, Java, Spring Boot, API development, MySQL, and also familiar with MongoDB, REST, GraphQL, AWS Lambda. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Led a project to migrate on-prem systems to AWS cloud infrastructure. Developed dashboards to monitor key business KPIs and provided actionable insights. Conducted root cause analysis on system failures and improved uptime by 15%. Trained transformer-based models for text classification achieving 93% accuracy. Developed dashboards to monitor key business KPIs and provided actionable insights. Conducted root cause analysis on system failures and improved uptime by 15%.",Frontend Developer
"ML Engineer with over 3 years of experience working across various industries. Skilled in TensorFlow, Keras, PyTorch, model optimization, serving, batch prediction, and also familiar with feature engineering, pipeline, airflow, MLFlow. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Designed and implemented a secure network segmentation for financial services client. Trained transformer-based models for text classification achieving 93% accuracy. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs. Worked on cross-functional teams to integrate machine learning models into production APIs.",Business Analyst
"Data Analyst with over 7 years of experience working across various industries. Skilled in Power BI, Tableau, SQL, Excel, data cleaning, ETL, and also familiar with DAX, dashboard, data storytelling, insights. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Conducted root cause analysis on system failures and improved uptime by 15%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Worked on cross-functional teams to integrate machine learning models into production APIs. Performed anomaly detection on large-scale time series IoT sensor data. Built and deployed an end-to-end predictive model for retail sales forecasting. Conducted root cause analysis on system failures and improved uptime by 15%.",AI Researcher
"Business Analyst with over 8 years of experience working across various industries. Skilled in BRD, FRD, UML, Agile, Scrum, stakeholder management, and also familiar with JIRA, confluence, gap analysis, process flows. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Conducted root cause analysis on system failures and improved uptime by 15%. Performed anomaly detection on large-scale time series IoT sensor data. Worked on cross-functional teams to integrate machine learning models into production APIs. Designed and implemented a secure network segmentation for financial services client. Performed anomaly detection on large-scale time series IoT sensor data. Conducted root cause analysis on system failures and improved uptime by 15%.",Data Scientist
"Cybersecurity Analyst with over 5 years of experience working across various industries. Skilled in SIEM, incident response, penetration testing, firewall, VPN, SOC, and also familiar with encryption, vulnerability scanning, NIST, ISO27001. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Built and deployed an end-to-end predictive model for retail sales forecasting. Automated CI/CD pipelines and ensured zero downtime during production releases. Designed and implemented a secure network segmentation for financial services client. Developed dashboards to monitor key business KPIs and provided actionable insights. Redesigned user interface for customer portal improving usability by 40%.",Backend Developer
"ML Engineer with over 2 years of experience working across various industries. Skilled in TensorFlow, Keras, PyTorch, model optimization, serving, batch prediction, and also familiar with feature engineering, pipeline, airflow, MLFlow. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Developed dashboards to monitor key business KPIs and provided actionable insights. Performed anomaly detection on large-scale time series IoT sensor data. Designed and implemented a secure network segmentation for financial services client. Developed dashboards to monitor key business KPIs and provided actionable insights. Led a project to migrate on-prem systems to AWS cloud infrastructure. Worked on cross-functional teams to integrate machine learning models into production APIs.",Data Analyst
"DevOps Engineer with over 5 years of experience working across various industries. Skilled in Jenkins, GitLab CI, Docker, Kubernetes, monitoring, logging, and also familiar with Prometheus, Grafana, automation, Ansible. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Redesigned user interface for customer portal improving usability by 40%. Automated CI/CD pipelines and ensured zero downtime during production releases. Developed dashboards to monitor key business KPIs and provided actionable insights. Automated CI/CD pipelines and ensured zero downtime during production releases. Developed dashboards to monitor key business KPIs and provided actionable insights. Trained transformer-based models for text classification achieving 93% accuracy.",Data Scientist
"Cybersecurity Analyst with over 3 years of experience working across various industries. Skilled in SIEM, incident response, penetration testing, firewall, VPN, SOC, and also familiar with encryption, vulnerability scanning, NIST, ISO27001. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Automated CI/CD pipelines and ensured zero downtime during production releases. Developed dashboards to monitor key business KPIs and provided actionable insights. Redesigned user interface for customer portal improving usability by 40%. Trained transformer-based models for text classification achieving 93% accuracy. Automated CI/CD pipelines and ensured zero downtime during production releases. Automated CI/CD pipelines and ensured zero downtime during production releases.",Data Scientist
"DevOps Engineer with over 3 years of experience working across various industries. Skilled in Jenkins, GitLab CI, Docker, Kubernetes, monitoring, logging, and also familiar with Prometheus, Grafana, automation, Ansible. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs. Performed anomaly detection on large-scale time series IoT sensor data. Performed anomaly detection on large-scale time series IoT sensor data. Redesigned user interface for customer portal improving usability by 40%. Developed dashboards to monitor key business KPIs and provided actionable insights.",Data Analyst
"Business Analyst with over 6 years of experience working across various industries. Skilled in BRD, FRD, UML, Agile, Scrum, stakeholder management, and also familiar with JIRA, confluence, gap analysis, process flows. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Led a project to migrate on-prem systems to AWS cloud infrastructure. Designed and implemented a secure network segmentation for financial services client. Developed dashboards to monitor key business KPIs and provided actionable insights. Automated CI/CD pipelines and ensured zero downtime during production releases. Automated CI/CD pipelines and ensured zero downtime during production releases. Built and deployed an end-to-end predictive model for retail sales forecasting.",ML Engineer
"Data Scientist with over 3 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Automated CI/CD pipelines and ensured zero downtime during production releases. Led a project to migrate on-prem systems to AWS cloud infrastructure. Trained transformer-based models for text classification achieving 93% accuracy. Led a project to migrate on-prem systems to AWS cloud infrastructure. Designed and implemented a secure network segmentation for financial services client. Automated CI/CD pipelines and ensured zero downtime during production releases.",Data Scientist
"AI Researcher with over 4 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Redesigned user interface for customer portal improving usability by 40%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Developed dashboards to monitor key business KPIs and provided actionable insights. Led a project to migrate on-prem systems to AWS cloud infrastructure. Led a project to migrate on-prem systems to AWS cloud infrastructure.",Backend Developer
"Data Scientist with over 5 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Developed dashboards to monitor key business KPIs and provided actionable insights. Automated CI/CD pipelines and ensured zero downtime during production releases. Redesigned user interface for customer portal improving usability by 40%. Designed and implemented a secure network segmentation for financial services client. Led a project to migrate on-prem systems to AWS cloud infrastructure.",Cybersecurity Analyst
"AI Researcher with over 2 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Developed dashboards to monitor key business KPIs and provided actionable insights. Built and deployed an end-to-end predictive model for retail sales forecasting. Worked on cross-functional teams to integrate machine learning models into production APIs. Led a project to migrate on-prem systems to AWS cloud infrastructure. Built and deployed an end-to-end predictive model for retail sales forecasting. Developed dashboards to monitor key business KPIs and provided actionable insights.",Data Scientist
"Backend Developer with over 5 years of experience working across various industries. Skilled in Node.js, Express, Java, Spring Boot, API development, MySQL, and also familiar with MongoDB, REST, GraphQL, AWS Lambda. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs. Led a project to migrate on-prem systems to AWS cloud infrastructure. Redesigned user interface for customer portal improving usability by 40%. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs.",Cloud Engineer
